"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
27,7204,26182,6600,5698,787,1118,2355,2007,69,1.71599112189921,1,4,0,195,263,192,384,66,15,19,1051,47,281,9,9,2046,26,0,281,645,1547,12,1069,1497,1554,101,25,47,0,28,68
30,63226,224825,63079,51234,9346,7620,22387,18328,148,2.98783556582202,31,49,24,2366,3120,5305,4444,351,63,94,7337,903,1545,69,56,20215,159,14,2067,5571,13294,1197,6808,14474,15734,975,83,66,13,440,920
31,35228,148609,42544,35469,5016,7191,18599,9304,178,3.36599461919155,16,17,0,1334,2991,2025,1104,408,325,226,6763,512,1338,67,26,16878,145,0,1691,3116,5463,1584,4719,11099,11741,884,99,83,14,145,939
32,11767,45886,16345,13624,2086,3217,4727,5917,67,1.54348646220531,6,8,10,717,1145,876,500,387,181,111,2874,271,669,10,29,3643,105,0,982,1638,2687,2072,1647,4879,4907,241,52,19,9,29,397
33,30136,127344,48159,40302,7540,8940,21233,8755,102,4.1959177724218,6,29,10,3937,2815,1480,1441,471,475,429,8291,489,1368,82,14,18723,172,0,2501,3329,4453,1879,6973,13623,14252,498,56,46,2,76,767
34,25783,106919,34507,27879,4375,3116,18562,3464,81,2.39731298697167,9,9,8,2301,1032,738,1261,145,101,116,2935,213,1362,52,10,17899,87,0,608,1218,2376,93,3544,7518,8144,162,23,60,0,38,322
35,7439,31106,8863,6985,855,612,4409,1548,27,1.7647757332599,1,0,2,578,166,128,157,48,6,8,567,19,170,6,4,4265,25,1,125,434,995,203,568,1809,1686,48,16,11,1,47,99
36,24303,94953,30993,25049,5244,6117,10544,6315,78,3.13984985779234,5,5,9,3412,1807,1779,647,252,154,81,5870,462,443,38,25,9532,65,1,970,1410,4607,713,3317,7914,8663,383,47,32,7,69,469
37,3742,14907,5232,4135,366,1025,2122,937,6,1.67305949375283,3,1,0,100,201,146,103,30,4,2,991,1,99,0,0,1932,14,0,183,318,493,198,504,1685,1151,16,0,6,0,2,33
38,10321,42984,12395,10521,2365,410,6060,2915,39,3.61366329492177,0,10,7,1788,473,1590,249,65,8,4,355,64,427,16,2,5834,49,0,194,771,1955,371,1576,3494,4092,146,20,19,0,43,176
39,1136,4477,1478,1277,120,140,69,920,83,0.37421684063696,8,8,32,12,50,6,57,25,0,0,118,33,26,0,12,27,30,0,0,119,661,171,99,434,488,2,74,17,0,1,37
40,25648,106558,32179,25637,4241,4901,11230,7905,158,2.24741460096271,13,15,26,2208,1918,1924,737,384,100,48,4644,416,792,205,60,10620,63,0,519,2152,4511,1916,1996,9111,9449,311,125,33,14,102,917
41,27386,113884,33732,26974,4589,2733,14581,7837,74,2.64637004639536,14,15,8,2271,1933,2849,1046,168,37,60,2560,411,1343,26,25,13845,99,3,672,2595,4272,1632,3051,7308,8157,290,52,22,3,62,315
42,16524,62318,24630,19707,2937,3109,9982,3577,2686,4.42815124067778,72,52,646,1948,806,318,422,1055,291,260,1937,235,393,64,403,7761,579,0,1469,814,2044,981,1803,5101,4719,179,2337,349,94,95,325
43,5864,21871,6054,4801,1293,1136,1427,1772,30,1.55807319471534,3,6,3,702,678,231,135,81,33,36,1080,38,183,19,4,1221,32,0,174,686,937,323,803,1652,1758,104,18,12,2,11,188
44,9933,40602,12887,9994,2274,1569,3761,3414,39,1.3906185427865,8,8,2,1764,354,269,310,219,16,15,1373,98,102,4,2,3494,35,0,251,919,1253,1512,570,4170,3396,55,24,15,4,21,148
45,10977,44553,15414,11752,1578,1154,6036,3812,46,1.29208455281692,6,9,7,997,347,394,365,148,18,22,994,406,133,11,11,5703,47,0,291,1209,1926,1094,702,3447,3038,225,31,15,0,76,133
46,10947,48901,17551,14041,1376,1341,8698,3245,245,1.97944847245111,3,2,0,671,446,242,327,66,75,157,1164,95,152,13,1,8198,64,0,462,1007,1375,1081,1747,4386,4910,118,223,41,23,10,91
47,15971,62564,22024,18682,5782,3959,8326,2141,40,2.51213575914048,9,5,10,4497,1156,2136,505,74,38,55,3845,202,283,15,12,7815,50,0,473,777,1165,332,1876,5232,6418,135,21,22,1,3,231
48,8244,31865,12119,9203,2634,2462,3966,1196,11,1.82155743853753,2,0,0,2390,215,687,60,123,39,64,2304,16,252,5,0,3700,24,0,251,308,426,526,560,4096,3980,76,2,11,0,2,59
49,2714,9420,3950,3178,888,1406,448,549,1,1.30572332470521,0,0,0,843,0,0,45,32,365,365,1024,3,3,0,1,293,3,0,153,138,206,243,488,965,948,0,1,0,3,0,0
50,56183,176178,64360,54887,18073,18255,19451,20210,188,5.62456127766192,25,17,16,11500,8216,2977,3146,1215,1342,2496,16799,1114,5902,108,33,4180,60,4,15704,5434,15812,320,14004,18310,15194,1066,141,51,15,229,1101
51,8627,28039,9238,7927,2348,2549,3342,2473,25,2.53854898883961,0,3,5,1643,1065,716,262,142,58,39,2447,65,541,2,6,427,0,0,2912,545,1913,150,605,3114,3113,13,17,11,0,12,40
52,20701,59194,25167,19387,3606,2730,2263,13471,17,3.74093084285273,0,0,1,1737,840,1916,1261,125,204,227,2454,235,652,6,5,782,4,5,1495,2585,11038,796,3414,7046,5005,565,6,11,2,81,207
53,12742,40269,16339,12203,1461,1385,3891,6905,40,4.09812942875374,11,8,1,192,366,945,923,98,264,330,1017,54,76,1,1,3254,14,0,663,1307,5851,135,1055,4069,3544,179,17,23,2,63,84
54,6922,20319,9603,7421,1296,678,541,5514,44,2.39034713341944,0,0,17,476,606,135,326,86,98,111,518,46,110,13,4,155,7,0,376,1004,4542,270,676,2932,1876,86,29,15,9,24,22
55,28335,96899,51771,44304,14930,15178,11286,14585,94,13.0552780699971,9,6,12,11254,2466,3970,2258,596,9318,6041,8974,908,1658,37,15,2629,31,1,8953,3552,10715,1566,8144,21871,13104,1536,60,34,6,25,309
56,6838,20342,9512,7677,1662,507,1027,5163,43,2.48478767477991,2,2,0,1089,474,324,297,1,0,1,505,15,187,4,0,45,2,0,980,1430,3379,903,698,2208,1821,176,18,30,0,2,12
57,40579,139715,54822,45494,9118,8294,21993,15537,205,5.85581468986476,5,9,39,3607,3622,4416,2756,1938,793,742,6217,1113,2261,308,60,10804,61,1,12062,5204,11057,776,11907,16370,12120,1082,149,72,9,142,1243
58,17407,57666,24689,22783,4213,8537,13137,4966,50,13.7121430978863,1,3,0,786,2427,1266,1429,1305,601,1951,6522,437,2561,57,7,3208,39,0,10513,1957,2165,1390,7650,6219,7875,178,20,30,0,8,287
60,23772,82987,24015,20005,3417,3847,7377,8777,152,2.89911990226611,4,2,3,950,1442,1264,1528,453,126,111,3417,628,868,60,25,6084,58,3,1259,2176,6097,1578,5540,4961,5338,951,63,94,6,442,558
61,6808,21156,6479,5592,1070,959,1567,2986,19,2.66001978841617,0,4,6,173,408,353,580,220,44,55,736,61,204,11,0,976,26,0,600,701,1673,879,1228,1659,1839,132,13,7,3,111,163
62,17532,58968,19001,16512,4234,4675,4345,6101,87,3.66873818247262,1,2,29,1372,2670,3212,769,112,639,827,3907,756,1232,22,63,3124,40,0,1166,1449,4446,688,2084,6251,6407,413,72,15,4,76,152
63,26351,89562,27294,23633,6407,8666,12884,5881,72,7.09981133662593,7,10,7,3035,3810,6274,1013,1911,1632,1009,6911,414,2404,98,34,6087,36,0,7754,2083,3780,912,8932,7995,8683,837,51,23,18,203,804
64,20836,62504,23092,18068,6376,4955,3342,7511,58,4.78394407964414,20,12,3,4162,2476,2740,799,208,190,316,4609,494,896,26,20,2256,55,0,1060,1565,5458,1147,1966,6588,6397,909,37,21,3,156,627
65,32420,99216,34471,27392,6354,10625,5021,11641,117,5.38245240345599,6,48,3,2436,2601,8266,2196,3433,310,284,7742,1080,1405,44,37,3231,84,3,1756,3164,7702,1936,5573,8634,8552,1428,57,60,5,506,1189
66,17602,51128,17717,14691,2311,5083,1550,7879,39,4.42898875794767,7,16,6,457,1222,1442,858,229,27,9,4962,141,964,13,8,418,34,0,1106,1760,5891,912,2181,4147,4511,265,20,19,6,118,154
67,19353,67190,23686,20389,3809,8814,3267,7288,48,2.80258086509014,5,2,8,792,1132,1941,2326,5754,209,234,3350,259,395,17,17,1880,48,0,1364,1256,5614,908,2130,6986,7885,495,37,14,5,165,246
70,11347,43647,8951,7237,775,718,1495,4646,7,1.44421694585134,0,0,1,123,130,357,543,22,2,2,703,65,216,1,6,1231,5,0,291,1029,3965,34,1430,1090,1251,165,7,0,0,106,57
71,16583,59784,13082,11581,2659,2963,3181,4638,41,2.3957880800182,3,2,3,756,1570,2257,632,238,152,200,2675,461,808,31,0,2019,25,0,1182,1270,3499,199,2945,3236,4073,288,7,34,0,69,161
72,18118,66165,14521,11940,1868,2164,4530,4811,34,1.98957887247199,0,0,0,340,838,479,916,123,45,37,2022,628,559,5,7,4191,18,0,322,723,4102,220,792,2633,3061,319,28,6,4,187,168
73,6148,24032,3752,3132,722,694,209,1958,20,0.636004946705141,2,0,3,250,324,351,261,123,8,9,622,150,197,8,8,35,13,0,153,353,1684,24,391,637,705,92,17,6,1,60,80
74,11236,38987,6617,5592,1744,310,1158,3102,1,1.76248664424686,0,0,0,806,127,1131,901,0,0,0,310,7,495,6,0,1157,0,0,1,766,2592,0,822,1018,988,164,1,0,0,374,14
75,1464,5704,1091,903,113,83,356,407,2,0.719728368296882,0,0,0,65,33,67,40,10,0,0,78,1,59,2,0,309,0,0,47,48,286,85,291,78,161,2,0,2,0,25,9
76,8913,32341,7044,5460,961,693,210,4301,12,1.79640718562874,0,0,3,365,540,2582,204,89,7,7,641,203,247,4,6,113,0,0,91,583,3828,67,80,1436,1595,109,6,6,0,86,83
77,6618,20302,3682,3053,691,885,614,1360,11,1.09506199851505,1,1,0,137,158,428,445,126,36,90,807,55,357,3,9,378,4,0,227,320,1023,104,948,484,787,102,7,4,2,61,58
80,56261,182766,32866,26391,5527,8782,5722,11897,84,2.90986272672143,0,5,15,1412,1378,6538,3134,877,324,305,7966,696,1485,91,34,4928,47,0,754,3422,7204,2692,10633,5267,10158,1604,54,31,9,785,589
81,18030,65821,8816,7370,1820,3588,1812,2375,24,2.47405099834839,3,25,5,612,588,2568,824,150,232,845,2996,150,930,18,8,1552,15,0,250,666,1634,298,3045,913,3453,424,14,10,1,356,112
82,5521,17685,4113,3426,448,1235,71,2204,8,2.22429979354135,0,3,9,70,198,1003,233,174,1,1,1113,69,184,4,2,15,3,0,51,984,1382,112,1591,494,1412,146,4,4,0,20,34
83,5210,15617,1442,1187,211,166,411,534,7,0.626570384915859,0,0,20,27,84,81,111,17,6,5,151,19,20,7,5,383,0,0,24,181,381,5,192,84,208,23,7,0,0,47,13
84,35306,113524,13669,11648,3586,5154,2692,3201,45,2.08684559886628,2,4,3,1563,1067,3757,1308,396,743,743,4464,367,1452,56,27,2336,39,2,312,935,1937,717,4501,2511,4697,795,32,13,3,533,361
85,6286,18759,3212,2832,576,1448,508,838,13,2.43957066312906,1,12,0,70,172,1404,362,34,110,87,1357,36,345,2,1,401,1,0,111,312,554,32,737,487,1244,201,7,7,0,126,17
86,12453,40200,5602,4440,1562,1462,1141,1157,33,1.58906835499214,0,8,0,908,516,1890,263,262,77,94,1221,230,294,10,8,912,11,0,217,653,615,41,1225,1020,1675,328,27,6,2,76,151
90,21888,70543,17943,13641,3703,3416,1554,7644,52,1.80726722541224,8,30,3,752,922,3288,2167,143,56,124,3229,359,1036,35,14,1187,10,4,365,2425,5397,614,3848,2503,4846,511,20,32,3,163,357
91,13590,52020,14838,12425,2190,3547,4549,4391,30,5.46641618675126,3,2,4,1120,751,4554,560,1644,279,294,1840,55,370,6,11,4291,18,0,249,1903,2834,26,2471,949,6075,58,11,19,4,115,23
92,19513,68786,14318,11865,2505,4057,3725,3786,22,3.08825940858466,6,2,4,785,1201,620,1024,467,346,297,3720,559,864,256,1,3429,17,2,299,1309,2595,199,5364,2408,4161,493,14,8,0,142,239
93,15192,54601,12933,10241,1348,2483,4295,3576,24,2.76648450352665,1,11,1,158,613,1393,648,134,269,311,2145,159,552,43,4,3897,30,0,387,1463,2425,20,2246,2675,4254,545,12,13,4,159,241
94,21823,99276,20232,17407,2692,3098,8961,6690,24,3.8575154737185,9,27,101,422,1274,2546,1253,403,62,79,2950,230,1264,48,36,6401,37,0,2771,2455,2975,2163,5769,251,8776,172,16,8,4,302,503
95,21693,78945,19620,15579,3983,6456,4287,5657,36,4.93726607487506,6,11,51,1331,1822,2458,1137,282,179,225,6251,385,2147,40,102,1014,43,13,3176,2515,3206,567,5479,570,7644,1043,14,22,1,682,298
96,18471,73801,21405,17975,2981,6850,7437,4185,37,3.60702582409754,11,31,93,247,1201,1752,1647,351,14,25,6588,35,906,25,89,3135,53,0,4331,2015,1925,498,4380,382,9215,70,8,29,0,120,296
